material_id,formula,chemistry_family,predicted_voltage_V,est_capacity_mAh_g,est_energy_density_Wh_kg,energy_above_hull_meV,formation_energy_eV_atom,nsites
mp-776627,Li3FeF6,fluoride,2.4486658573150635,421.72803245396886,1032.6710341426926,0.0,-2.983863082833323,60
mp-776733,Li3VF6,fluoride,0.6623486280441284,432.860676563983,286.70467525640737,44.596308749979,-3.16704767975,40
mp-777444,Li3Fe2F7,fluoride,2.1377928256988525,302.8453788873126,647.4206782813477,45.18614791666501,-2.832480138333333,24
mp-778250,Li3FeF6,fluoride,2.816758871078491,421.72803245396886,1187.9061765971946,42.48173008331201,-2.9413813527499997,40
mp-676361,Li3ErCl6,other,0.17061282694339752,200.61377245508982,34.22728284234237,0.0,-2.216732821833333,30
mp-1177520,Li3SbS3,sulfide,0.2411068081855774,336.73956562162346,81.19020185682741,35.223629285713,-1.136182761785713,7
mp-1222568,Li3Ag3Sn2,sulfide,0.5943399667739868,138.1908252263995,82.1323304735281,25.071266249999002,-0.27415890187499903,8
mp-755947,Li3(CrS2)4,sulfide,0.8182896375656128,165.67372870355146,135.5690954149728,30.503620333333004,-1.147732210666666,15
mp-770710,Li3Mn7O16,oxide,1.490622878074646,121.57312686857956,181.21968426937613,41.005662155451006,-1.886640759058356,26
mp-753677,Li3BiS3,sulfide,0.24259653687477112,246.64538230862482,59.83531558422632,48.694122142856,-1.159218472499999,14
mp-1120720,Li3InBr6,other,1.2328392267227173,130.72764667149002,161.16617083376036,34.206557000000004,-1.5629414941666662,20
mp-27417,Li3InO3,oxide,0.2984657883644104,437.8476926494997,130.682556770171,10.260926071429,-2.051196499166667,28
mp-777475,Li3FeF6,fluoride,2.536660671234131,421.72803245396886,1069.7809138829339,25.393003333312,-2.9584700795,20
mp-777681,Li3VF6,fluoride,1.2025233507156372,432.860676563983,520.5250711747585,34.814206999978005,-3.1768297815,20
mp-777900,Li3FeF6,fluoride,2.7510077953338623,421.72803245396886,1160.1771047916804,28.329501833312,-2.955533581,20
mp-1018761,Li3CeSb2,sulfide,0.27245673537254333,198.7988893806294,54.164096396333655,0.0,-1.003513178333333,6
mp-1018762,Li3CeBi2,other,-0.1424558460712433,138.8945029865272,-19.78633393759056,0.0,-0.8441372500000021,6
mp-1018763,Li3DySb2,sulfide,0.19750730693340302,188.37371117717754,37.20518439165502,0.0,-0.877165958611109,6
mp-1018764,Li3HoSb2,sulfate,0.13994655013084412,187.30723819500358,26.213001799927028,0.0,-0.963313027499999,6
